force,x,y,strain,Z1,Z2,Z3,Z4,Z5,Z6,Z1-Z4,Z2-Z6,Z3-Z5,Tforce
1.5,1,1,0,1755166,4199435.2,3742041.6,1894387.5,3810274,4437433,-139221.5,-237997.8,-68232.4,1.48E+00
1.5,1,1,0,1749202,4213293.6,3754093.2,1898762.5,3823768,4452084,-149560.5,-238790.4,-69674.8,1.48E+00
1.5,1,1,0,1749020,4198170.4,3734530.8,1893562.5,3808480,4461899,-144542.5,-263728.6,-73949.2,1.48E+00
1.5,1,1,0,1747718,4195341.6,3752997.6,1897050,3814954,4443036,-149332,-247694.4,-61956.4,1.47E+00
1.5,1,1,0,1750140,4189684,3743295.6,1894487.5,3824392,4472182,-144347.5,-282498,-81096.4,1.47E+00
1.5,1,1,0,1748292,4188745.6,3739401.6,1896712.5,3805490,4459247,-148420.5,-270501.4,-66088.4,1.48E+00
1.5,1,1,0,1746738,4186651.2,3750054,1896462.5,3818672,4442282,-149724.5,-255630.8,-68618,1.49E+00
1.5,1,1,0,1748838,4194158.4,3733501.2,1895562.5,3811548,4448522,-146724.5,-254363.6,-78046.8,1.48E+00
1.5,1,1,0,1752688,4190037.6,3744457.2,1888962.5,3818035,4453423,-136274.5,-263385.4,-73577.8,1.48E+00
1.5,1,1,0,1750602,4184652,3749605.2,1900375,3819751,4442984,-149773,-258332,-70145.8,1.50E+00
1.5,1,1,0,1751106,4190255.2,3740787.6,1896825,3811418,4457518,-145719,-267262.8,-70630.4,1.49E+00
1.5,1,1,0,1754214,4215252,3756165.6,1897712.5,3809624,4437316,-143498.5,-222064,-53458.4,1.48E+00
1.5,1,1,0,1746570,4199081.6,3738952.8,1898425,3826069,4444791,-151855,-245709.4,-87116.2,1.49E+00
1.5,1,1,0,1749720,4188460,3747321.6,1892387.5,3802552,4461717,-142667.5,-273257,-55230.4,1.49E+00
1.5,1,1,0,1751904,4213524.8,3745143.6,1894075,3802162,4435119,-142171,-221594.2,-57018.4,1.49E+00
1.5,1,1,0,1748782,4185522.4,3736656,1897087.5,3818490,4455438,-148305.5,-269915.6,-81834,1.48E+00
1.5,1,1,0,1753948,4188745.6,3751796.4,1890837.5,3807297,4444557,-136889.5,-255811.4,-55500.6,1.48E+00
1.5,1,1,0,1747662,4195627.2,3741381.6,1898812.5,3819101,4464889,-151150.5,-269261.8,-77719.4,1.49E+00
1.5,1,1,0,1749958,4183999.2,3744021.6,1895637.5,3821636,4455139,-145679.5,-271139.8,-77614.4,1.49E+00
1.5,1,1,0,1754802,4203692,3758713.2,1895750,3814473,4446195,-140948,-242503,-55759.8,1.50E+00
1.5,1,1,0,1747690,4195124,3743348.4,1899162.5,3821142,4463277,-151472.5,-268153,-77793.6,1.49E+00
1.5,1,1,0,1752940,4179932.8,3732220.8,1893387.5,3818529,4455659,-140447.5,-275726.2,-86308.2,1.49E+00
1.5,1,1,0,1752632,4210328.8,3754040.4,1893925,3805230,4455945,-141293,-245616.2,-51189.6,1.48E+00
1.5,1,1,0,1749622,4190024,3748126.8,1894375,3828526,4457128,-144753,-267104,-80399.2,1.50E+00
1.5,1,1,0,1754130,4192091.2,3740444.4,1889887.5,3809936,4454944,-135757.5,-262852.8,-69491.6,1.49E+00
1.5,1,1,0,1751736,4210220,3739850.4,1894512.5,3808649,4457089,-142776.5,-246869,-68798.6,1.49E+00
1.5,1,1,0,1747802,4191574.4,3739982.4,1897100,3823599,4441359,-149298,-249784.6,-83616.6,1.48E+00
1.5,1,1,0,1749216,4201516,3737804.4,1891512.5,3813992,4440982,-142296.5,-239466,-76187.6,1.49E+00
1.5,1,1,0,1752142,4212137.6,3751875.6,1896712.5,3806920,4428424,-144570.5,-216286.4,-55044.4,1.50E+00
1.5,1,1,0,1748460,4186800.8,3745698,1894200,3822013,4457882,-145740,-271081.2,-76315,1.49E+00
1.5,1,1,0,1750644,4188215.2,3732273.6,1893900,3810586,4471142,-143256,-282926.8,-78312.4,1.49E+00
1.5,1,1,0,1754438,4211022.4,3746226,1893575,3805945,4438278,-139137,-227255.6,-59719,1.49E+00
1.5,1,1,0,1748908,4196878.4,3756086.4,1900012.5,3826550,4441944,-151104.5,-245065.6,-70463.6,1.48E+00
1.5,1,1,0,1746444,4199435.2,3736114.8,1896812.5,3824730,4458480,-150368.5,-259044.8,-88615.2,1.49E+00
1.5,1,1,0,1752884,4194430.4,3741579.6,1890850,3805152,4441983,-137966,-247552.6,-63572.4,1.49E+00
1.5,1,1,0,1753290,4213198.4,3750146.4,1898037.5,3816787,4441151,-144747.5,-227952.6,-66640.6,1.49E+00
1.5,1,1,0,1748320,4187304,3744364.8,1895675,3816761,4443218,-147355,-255914,-72396.2,1.49E+00
1.5,1,1,0,1750140,4178640.8,3736101.6,1891987.5,3814720,4471324,-141847.5,-292683.2,-78618.4,1.49E+00
1.5,1,1,0,1751750,4200115.2,3745948.8,1896312.5,3812523,4451655,-144562.5,-251539.8,-66574.2,1.49E+00
1.5,1,1,0,1749006,4194240,3750832.8,1900400,3816657,4452890,-151394,-258650,-65824.2,1.50E+00
1.5,1,1,0,1745870,4184108,3741368.4,1895087.5,3827577,4457570,-149217.5,-273462,-86208.6,1.49E+00
1.5,1,1,0,1751008,4185427.2,3731851.2,1890450,3809377,4461821,-139442,-276393.8,-77525.8,1.50E+00
1.5,1,1,0,1749286,4201162.4,3749011.2,1896450,3813199,4438408,-147164,-237245.6,-64187.8,1.50E+00
1.5,1,1,0,1749958,4189752,3762158.4,1898137.5,3825900,4455035,-148179.5,-265283,-63741.6,1.50E+00
1.5,1,1,0,1749020,4178001.6,3749618.4,1894387.5,3812926,4454437,-145367.5,-276435.4,-63307.6,1.50E+00
1.5,1,1,0,1751190,4204100,3747994.8,1895775,3790215,4436237,-144585,-232137,-42220.2,1.50E+00
1.5,1,1,0,1746346,4207554.4,3761841.6,1897587.5,3812926,4431232,-151241.5,-223677.6,-51084.4,1.49E+00
1.5,1,1,0,1750616,4181374.4,3740748,1894325,3818971,4466436,-143709,-285061.6,-78223,1.49E+00
1.5,1,1,0,1750224,4200428,3734966.4,1893425,3809351,4457453,-143201,-257025,-74384.6,1.48E+00
1.5,1,1,0,1749146,4200088,3748628.4,1893075,3810833,4442971,-143929,-242883,-62204.6,1.50E+00
1.5,1,1,0,1749552,4210301.6,3743823.6,1899237.5,3820804,4457934,-149685.5,-247632.4,-76980.4,1.49E+00
1.5,1,1,0,1749762,4186352,3743018.4,1897100,3818490,4471675,-147338,-285323,-75471.6,1.49E+00
1.5,1,1,0,1750140,4189860.8,3739718.4,1891425,3807674,4455698,-141285,-265837.2,-67955.6,1.49E+00
1.5,1,1,0,1751372,4207350.4,3759280.8,1895637.5,3815344,4445337,-144265.5,-237986.6,-56063.2,1.50E+00
1.5,1,1,0,1746024,4186012,3739639.2,1899275,3820921,4454996,-153251,-268984,-81281.8,1.49E+00
1.5,1,1,0,1749230,4190241.6,3739890,1895000,3808987,4461626,-145770,-271384.4,-69097,1.49E+00
1.5,1,1,0,1751568,4204168,3743137.2,1894587.5,3808246,4442542,-143019.5,-238374,-65108.8,1.49E+00
1.5,1,1,0,1748894,4213130.4,3754000.8,1899987.5,3814499,4441567,-151093.5,-228436.6,-60498.2,1.49E+00
